#Program,Baseline,SS,SH,CFI,Silhouette,Invert,SSFI
bubblesort,30716,30836,31292,30732,31436,30864,31508
ctl-string,30976,31124,31248,30992,31416,31152,31632
cubic,43468,43584,43796,43484,43944,43608,43964
dijkstra,30900,31032,31412,30916,31576,31064,32180
edn,32536,32640,32864,32552,32988,32664,33664
fasta,30600,30700,30804,30616,30928,30724,31016
fir,30164,30264,30312,30180,30440,30288,30492
frac,30776,30904,31064,30792,31204,30928,31308
huffbench,34156,34264,35268,34172,35384,34292,36436
levenshtein,31408,31532,31912,31424,31828,31404,32208
matmult-int,31344,31460,31632,31360,31780,31488,32096
nbody,33636,33740,34144,33652,34268,33752,34268
ndes,33660,33796,34504,33672,34660,33824,35076
nettle-aes,32312,32440,32644,32328,32784,32468,33228
picojpeg,45084,45372,47848,45100,48168,45424,54164
qrduino,46108,46264,48792,46120,48972,46296,51892
rijndael,39268,39404,40240,39284,40396,39440,42836
sglib-dllist,30740,30844,31000,30756,31124,30868,31548
sglib-listinsertsort,30144,30248,30308,30160,30432,30276,30528
sglib-listsort,30524,30628,30728,30540,30852,30656,31196
sglib-queue,31272,31376,31988,31288,32104,31404,33464
sglib-rbtree,30748,30924,31108,30788,31324,30972,31744
slre,33420,33600,33912,33436,34100,33636,34808
sqrt,30428,30532,30620,30444,30732,30556,30692
st,35300,35416,35796,35324,35916,35432,36120
stb_perlin,31124,31244,31420,31140,31556,31268,31444
trio-sscanf,35468,35660,36528,35932,37184,36152,38268
whetstone,40984,41096,41376,41000,41516,41132,41744
wikisort,40108,40292,42228,40160,42496,40388,46372
