benchmark,code_size
aha-compress,2070
aha-mont64,3082
bubblesort,1522
cnt,2034
compress,3082
cover,1376
crc32,1434
crc,1852
ctl-string,2388
cubic,3112
dijkstra,2232
dtoa,12546
duff,1636
edn,2610
expint,1756
fac,1416
fasta,1822
fdct,2162
fir,1512
frac,2352
huffbench,2834
insertsort,1636
jfdctint,2202
lcdnum,1970
levenshtein,1802
ludcmp,2838
matmult-float,2870
matmult-int,2128
miniz,19030
minver,2360
nbody,2370
ndes,3380
nettle-aes,3848
nettle-arcfour,1862
nettle-cast128,7318
nettle-des,5676
nettle-md5,3290
nettle-sha256,5316
newlib-exp,1402
newlib-log,1900
newlib-mod,1402
newlib-sqrt,2876
nsichneu,12424
picojpeg,17762
prime,1576
qrduino,10796
qsort,1798
qurt,1868
recursion,1430
rijndael,9778
select,1750
sglib-arraybinsearch,1480
sglib-arrayheapsort,1598
sglib-arrayquicksort,1694
sglib-dllist,2132
sglib-hashtable,2462
sglib-listinsertsort,1520
sglib-listsort,1886
sglib-queue,1656
sglib-rbtree,2044
slre,5046
sqrt,1628
statemate,7908
stb_perlin,2332
stringsearch1,2412
strstr,1692
st,2518
tarai,1548
ud,2118
whetstone,3914
