benchmark,code_size
aha-compress,2108
aha-mont64,3116
bubblesort,1556
cnt,2072
compress,3120
cover,1410
crc32,1468
crc,1888
ctl-string,2426
cubic,3148
dijkstra,2268
dtoa,12596
duff,1670
edn,2646
expint,1792
fac,1450
fasta,1856
fdct,2198
fir,1546
frac,2388
huffbench,2870
insertsort,1670
jfdctint,2238
lcdnum,2004
levenshtein,1838
ludcmp,2874
matmult-float,2906
matmult-int,2162
miniz,19314
minver,2396
nbody,2408
ndes,3420
nettle-aes,3896
nettle-arcfour,1896
nettle-cast128,7358
nettle-des,5714
nettle-md5,3326
nettle-sha256,5364
newlib-exp,1436
newlib-log,1936
newlib-mod,1436
newlib-sqrt,2910
nsichneu,12458
picojpeg,18900
prime,1610
qrduino,10852
qsort,1834
qurt,1904
recursion,1466
rijndael,9822
select,1786
sglib-arraybinsearch,1514
sglib-arrayheapsort,1632
sglib-arrayquicksort,1728
sglib-dllist,2168
sglib-hashtable,2496
sglib-listinsertsort,1554
sglib-listsort,1920
sglib-queue,1690
sglib-rbtree,2080
slre,5086
sqrt,1662
statemate,7950
stb_perlin,2368
stringsearch1,2460
strstr,1728
st,2554
tarai,1584
ud,2154
whetstone,3950
