benchmark,code_size
aha-compress,2538
aha-mont64,3540
bubblesort,1952
cnt,2524
compress,3730
cover,1752
crc32,1832
crc,2314
ctl-string,3016
cubic,3906
dijkstra,2894
dtoa,14544
duff,2076
edn,3266
expint,2200
fac,1794
fasta,2462
fdct,2792
fir,1932
frac,3030
huffbench,3524
insertsort,2080
jfdctint,2712
lcdnum,2352
levenshtein,2332
ludcmp,3510
matmult-float,3742
matmult-int,2670
miniz,22766
minver,3132
nbody,3210
ndes,4548
nettle-aes,4744
nettle-arcfour,2448
nettle-cast128,8174
nettle-des,6286
nettle-md5,3798
nettle-sha256,6424
newlib-exp,1780
newlib-log,2378
newlib-mod,1780
newlib-sqrt,3364
nsichneu,14984
picojpeg,20690
prime,1956
qrduino,12508
qsort,2464
qurt,2564
recursion,1852
rijndael,10870
select,2424
sglib-arraybinsearch,1882
sglib-arrayheapsort,2046
sglib-arrayquicksort,2210
sglib-dllist,2644
sglib-hashtable,2898
sglib-listinsertsort,1940
sglib-listsort,2324
sglib-queue,2104
sglib-rbtree,2740
slre,5862
sqrt,2162
statemate,9078
stb_perlin,3020
stringsearch1,3168
strstr,2132
st,3328
tarai,2000
ud,2800
whetstone,4964
