benchmark,code_size
aha-compress,2384
aha-mont64,3410
bubblesort,1822
cnt,2380
compress,3564
cover,1636
crc32,1702
crc,2172
ctl-string,2846
cubic,3764
dijkstra,2752
dtoa,14312
duff,1956
edn,3114
expint,2058
fac,1674
fasta,2332
fdct,2640
fir,1802
frac,2888
huffbench,3382
insertsort,1938
jfdctint,2560
lcdnum,2232
levenshtein,2190
ludcmp,3352
matmult-float,3572
matmult-int,2512
miniz,22252
minver,2990
nbody,3040
ndes,4382
nettle-aes,4536
nettle-arcfour,2308
nettle-cast128,7988
nettle-des,6122
nettle-md5,3646
nettle-sha256,6210
newlib-exp,1664
newlib-log,2236
newlib-mod,1664
newlib-sqrt,3234
nsichneu,14852
picojpeg,19336
prime,1836
qrduino,12276
qsort,2320
qurt,2422
recursion,1710
rijndael,10680
select,2282
sglib-arraybinsearch,1752
sglib-arrayheapsort,1916
sglib-arrayquicksort,2080
sglib-dllist,2502
sglib-hashtable,2768
sglib-listinsertsort,1810
sglib-listsort,2194
sglib-queue,1974
sglib-rbtree,2580
slre,5680
sqrt,2032
statemate,8812
stb_perlin,2878
stringsearch1,2950
strstr,1990
st,3176
tarai,1848
ud,2658
whetstone,4822
