benchmark,code_size
aha-compress,2182
aha-mont64,3174
bubblesort,1614
cnt,2136
compress,3206
cover,1458
crc32,1526
crc,1954
ctl-string,2516
cubic,3214
dijkstra,2334
dtoa,12724
duff,1718
edn,2722
expint,1858
fac,1498
fasta,1914
fdct,2274
fir,1604
frac,2454
huffbench,2936
insertsort,1740
jfdctint,2314
lcdnum,2052
levenshtein,1904
ludcmp,2956
matmult-float,3000
matmult-int,2248
miniz,19256
minver,2462
nbody,2498
ndes,3502
nettle-aes,4004
nettle-arcfour,1964
nettle-cast128,7460
nettle-des,5798
nettle-md5,3402
nettle-sha256,5478
newlib-exp,1484
newlib-log,2002
newlib-mod,1484
newlib-sqrt,2968
nsichneu,12518
picojpeg,17974
prime,1658
qrduino,10968
qsort,1902
qurt,1970
recursion,1532
rijndael,9920
select,1852
sglib-arraybinsearch,1572
sglib-arrayheapsort,1690
sglib-arrayquicksort,1786
sglib-dllist,2234
sglib-hashtable,2554
sglib-listinsertsort,1612
sglib-listsort,1978
sglib-queue,1748
sglib-rbtree,2164
slre,5184
sqrt,1720
statemate,8134
stb_perlin,2434
stringsearch1,2578
strstr,1794
st,2630
tarai,1660
ud,2220
whetstone,4016
