#Program,Baseline,SS,SH,CFI,Silhouette,Invert,SSFI
bubblesort,2755,2757,3436,2755,3437,2756,4159
ctl-string,1393,1414,1408,1392,1430,1415,1442
cubic,28657,28706,28701,28657,28703,28689,28807
dijkstra,40580,40648,40623,40580,40694,40670,45347
edn,2677,2678,2688,2677,2689,2678,2833
fasta,16274,16274,16277,16274,16278,16275,16289
fir,16418,16419,16421,16418,16421,16419,16765
frac,8846,8849,8871,8846,8849,8850,8926
huffbench,46129,46130,46343,46129,46342,46130,46925
levenshtein,7835,7873,7982,7835,9458,9291,9777
matmult-int,5901,5903,5968,5901,5969,5903,6185
nbody,124578,124586,124247,124578,124249,124602,124902
ndes,1938,1957,1954,1938,1969,1960,2014
nettle-aes,7030,7033,7052,7030,7052,7033,7812
picojpeg,43010,44586,45481,42893,47231,44582,59372
qrduino,43564,43576,45112,43582,45115,43579,46717
rijndael,78849,78927,79475,78849,79502,79226,90396
sglib-dllist,1327,1328,1335,1327,1336,1328,1682
sglib-listinsertsort,1359,1360,1359,1359,1360,1360,1432
sglib-listsort,1058,1059,1057,1058,1058,1059,1304
sglib-queue,2135,2135,2197,2135,2200,2135,2396
sglib-rbtree,7802,8516,7934,7802,8661,8529,9028
slre,4163,4290,4217,4163,4349,4308,4630
sqrt,55894,55893,56006,55894,56227,56017,56005
st,20036,20073,20083,20073,20084,20074,20205
stb_perlin,3168,3399,3334,3168,3322,3400,3312
trio-sscanf,1335,1385,1343,1365,1432,1419,1488
whetstone,97960,97981,98037,97960,98053,97996,98144
wikisort,160307,162091,162391,162866,166508,164876,189119
