Benchmark,Time
aha-compress,3965
aha-mont64,3656
bubblesort,27340
cnt,547
compress,1320
crc,310
crc32,3279
ctl-string,5712
cubic,117132
dijkstra,212764
dtoa,2593
duff,161
edn,13639
expint,455
fac,103
fasta,84116
fdct,584
fir,57900
frac,33158
huffbench,86363
insertsort,144
jfdctint,724
lcdnum,21
levenshtein,11434
ludcmp,613
matmult-float,3807
matmult-int,11664
miniz,592
minver,381
nbody,754118
ndes,10422
nettle-aes,15527
nettle-arcfour,3642
nettle-cast128,905
nettle-des,899
nettle-md5,276
nettle-sha256,1878
newlib-log,147
newlib-sqrt,523
nsichneu,1675
picojpeg,181233
prime,1862
qrduino,246194
qsort,267
qurt,2541
recursion,642
rijndael,136082
select,91
sglib-arraybinsearch,3206
sglib-arrayheapsort,4044
sglib-arrayquicksort,2921
sglib-dllist,6538
sglib-hashtable,1776
sglib-listinsertsort,8436
sglib-listsort,5311
sglib-queue,5045
sglib-rbtree,20563
slre,10119
sqrt,244633
st,84805
statemate,462
stb_perlin,24356
stringsearch1,2074
strstr,377
tarai,201
ud,489
whetstone,376405
