Benchmark,Time
aha-compress,3835
aha-mont64,3657
bubblesort,27320
cnt,548
compress,1322
crc,311
crc32,3008
ctl-string,5671
cubic,117059
dijkstra,212832
dtoa,2579
duff,135
edn,13644
expint,456
fac,104
fasta,81731
fdct,585
fir,57915
frac,33199
huffbench,86387
insertsort,144
jfdctint,725
lcdnum,22
levenshtein,11441
ludcmp,614
matmult-float,3938
matmult-int,11668
miniz,607
minver,384
nbody,754422
ndes,10366
nettle-aes,15615
nettle-arcfour,3644
nettle-cast128,907
nettle-des,900
nettle-md5,277
nettle-sha256,1878
newlib-log,152
newlib-sqrt,525
nsichneu,1675
picojpeg,182719
prime,1863
qrduino,246551
qsort,268
qurt,2559
recursion,667
rijndael,136073
select,92
sglib-arraybinsearch,3211
sglib-arrayheapsort,4046
sglib-arrayquicksort,2922
sglib-dllist,6567
sglib-hashtable,1775
sglib-listinsertsort,8439
sglib-listsort,5314
sglib-queue,4973
sglib-rbtree,20848
slre,10286
sqrt,245646
st,84639
statemate,467
stb_perlin,24448
stringsearch1,2078
strstr,379
tarai,206
ud,500
whetstone,376383
