Benchmark,Time
aha-compress,4036
aha-mont64,3643
bubblesort,37917
cnt,562
compress,1363
crc,317
crc32,3010
ctl-string,5809
cubic,117350
dijkstra,227724
dtoa,2767
duff,188
edn,13883
expint,459
fac,104
fasta,84162
fdct,694
fir,51851
frac,33382
huffbench,88977
insertsort,140
jfdctint,756
lcdnum,22
levenshtein,12773
ludcmp,671
matmult-float,4939
matmult-int,12524
miniz,623
minver,479
nbody,755009
ndes,10550
nettle-aes,15853
nettle-arcfour,5398
nettle-cast128,917
nettle-des,914
nettle-md5,292
nettle-sha256,1913
newlib-log,164
newlib-sqrt,536
nsichneu,1678
picojpeg,204905
prime,1864
qrduino,257735
qsort,334
qurt,2624
recursion,810
rijndael,136275
select,115
sglib-arraybinsearch,3209
sglib-arrayheapsort,4855
sglib-arrayquicksort,3035
sglib-dllist,6701
sglib-hashtable,1832
sglib-listinsertsort,8493
sglib-listsort,5415
sglib-queue,5653
sglib-rbtree,22567
slre,11110
sqrt,246063
st,85162
statemate,481
stb_perlin,26294
stringsearch1,2723
strstr,396
tarai,258
ud,512
whetstone,376319
