Benchmark,Time
aha-compress,3845
aha-mont64,3641
bubblesort,37917
cnt,559
compress,1361
crc,313
crc32,3281
ctl-string,5701
cubic,117418
dijkstra,227469
dtoa,2743
duff,214
edn,14172
expint,456
fac,104
fasta,81756
fdct,690
fir,51849
frac,33345
huffbench,88974
insertsort,132
jfdctint,752
lcdnum,22
levenshtein,12722
ludcmp,667
matmult-float,4920
matmult-int,12520
miniz,601
minver,474
nbody,755553
ndes,10543
nettle-aes,15838
nettle-arcfour,5397
nettle-cast128,910
nettle-des,909
nettle-md5,289
nettle-sha256,1908
newlib-log,156
newlib-sqrt,537
nsichneu,1674
picojpeg,201216
prime,1864
qrduino,256734
qsort,329
qurt,2602
recursion,691
rijndael,135269
select,112
sglib-arraybinsearch,3211
sglib-arrayheapsort,4854
sglib-arrayquicksort,3034
sglib-dllist,6697
sglib-hashtable,1830
sglib-listinsertsort,8439
sglib-listsort,5385
sglib-queue,5721
sglib-rbtree,21317
slre,10649
sqrt,244735
st,85114
statemate,471
stb_perlin,26158
stringsearch1,2705
strstr,384
tarai,219
ud,510
whetstone,376231
