Benchmark,Time
aha-compress,3864
aha-mont64,3641
bubblesort,26005
cnt,550
compress,1323
cover,8
crc,315
crc32,3009
ctl-string,5765
cubic,117145
dijkstra,226725
dtoa,2608
duff,138
edn,13650
expint,458
fac,103
fasta,84136
fdct,585
fir,51661
frac,33191
huffbench,82167
insertsort,161
jfdctint,722
lcdnum,22
levenshtein,11704
ludcmp,620
matmult-float,3811
matmult-int,11883
miniz,610
minver,384
nbody,754118
ndes,10376
nettle-aes,15473
nettle-arcfour,3644
nettle-cast128,912
nettle-des,904
nettle-md5,278
nettle-sha256,1891
newlib-exp,8
newlib-log,157
newlib-mod,8
newlib-sqrt,525
nsichneu,1677
picojpeg,182298
prime,1864
qrduino,245247
qsort,262
qurt,2546
recursion,763
rijndael,135580
select,90
sglib-arraybinsearch,3212
sglib-arrayheapsort,4138
sglib-arrayquicksort,2872
sglib-dllist,6542
sglib-hashtable,1804
sglib-listinsertsort,8439
sglib-listsort,5314
sglib-queue,4974
sglib-rbtree,21444
slre,10673
sqrt,244833
st,84826
statemate,472
stb_perlin,24504
stringsearch1,2147
strstr,386
tarai,242
ud,492
whetstone,376346
